一级分类,品名,平均价,单位,产地,发布日期,规格
蔬菜,大白菜,0.6,斤,冀鲁鄂,2025-04-07 00:00:00,
蔬菜,娃娃菜,1.0,斤,云,2025-04-07 00:00:00,
蔬菜,小白菜,1.0,斤,冀,2025-04-07 00:00:00,
蔬菜,圆白菜,0.73,斤,冀鄂鲁苏,2025-04-07 00:00:00,甘蓝
蔬菜,紫甘蓝,1.85,斤,云,2025-04-07 00:00:00,
蔬菜,芹菜,0.8,斤,津鲁冀,2025-04-07 00:00:00,
蔬菜,西芹,1.65,斤,辽,2025-04-07 00:00:00,
蔬菜,菠菜,1.45,斤,鲁冀,2025-04-07 00:00:00,杆/大叶
蔬菜,莴笋,1.5,斤,鲁闽津,2025-04-07 00:00:00,
蔬菜,团生菜,3.5,斤,冀,2025-04-07 00:00:00,
蔬菜,罗马生菜,2.3,斤,云,2025-04-07 00:00:00,
蔬菜,散叶生菜,2.0,斤,辽京,2025-04-07 00:00:00,
蔬菜,油菜,1.1,斤,皖京鲁,2025-04-07 00:00:00,
蔬菜,香菜,2.0,斤,冀,2025-04-07 00:00:00,
蔬菜,茴香,2.75,斤,冀,2025-04-07 00:00:00,
蔬菜,韭菜,2.1,斤,冀,2025-04-07 00:00:00,
蔬菜,苦菊,2.5,斤,辽冀,2025-04-07 00:00:00,
蔬菜,油麦菜,1.65,斤,京冀,2025-04-07 00:00:00,
蔬菜,散菜花,2.05,斤,云苏豫,2025-04-07 00:00:00,
蔬菜,绿菜花,2.05,斤,浙,2025-04-07 00:00:00,
蔬菜,绿豆芽,0.98,斤,,2025-04-07 00:00:00,
蔬菜,黄豆芽,0.88,斤,,2025-04-07 00:00:00,
蔬菜,番茄,1.65,斤,冀蒙甘,2025-04-07 00:00:00,黑框
蔬菜,番茄,2.6,斤,冀蒙甘,2025-04-07 00:00:00,纸箱\泡沫箱
蔬菜,番茄,2.9,斤,蒙,2025-04-07 00:00:00,白框
蔬菜,黄瓜,1.6,斤,辽冀鲁,2025-04-07 00:00:00,袋\箱
蔬菜,黄瓜,1.95,斤,冀辽,2025-04-07 00:00:00,干花\鲜花
蔬菜,小黄瓜,3.0,斤,辽鲁,2025-04-07 00:00:00,旱
蔬菜,小黄瓜,3.8,斤,辽鲁,2025-04-07 00:00:00,荷兰
蔬菜,茄子,1.7,斤,冀云,2025-04-07 00:00:00,圆茄
蔬菜,长茄,1.55,斤,辽冀,2025-04-07 00:00:00,
蔬菜,线茄,2.6,斤,冀,2025-04-07 00:00:00,
蔬菜,广茄,2.1,斤,闽云,2025-04-07 00:00:00,
蔬菜,冬瓜,1.45,斤,琼,2025-04-07 00:00:00,吊
蔬菜,冬瓜,1.15,斤,新琼,2025-04-07 00:00:00,地
蔬菜,毛冬瓜,2.0,斤,琼冀,2025-04-07 00:00:00,长\小
蔬菜,架豆,3.65,斤,云鲁,2025-04-07 00:00:00,
蔬菜,豆王,5.7,斤,云鲁辽,2025-04-07 00:00:00,
蔬菜,扁豆,5.2,斤,鲁辽,2025-04-07 00:00:00,
蔬菜,豇豆,4.75,斤,琼鲁,2025-04-07 00:00:00,
蔬菜,白豆,4.85,斤,鲁,2025-04-07 00:00:00,
蔬菜,油豆,7.05,斤,鲁辽,2025-04-07 00:00:00,
蔬菜,毛豆,4.25,斤,琼,2025-04-07 00:00:00,
蔬菜,花生,4.75,斤,苏,2025-04-07 00:00:00,泥\洗
蔬菜,玉米,2.65,斤,粤琼,2025-04-07 00:00:00,黄
蔬菜,玉米,2.55,斤,粤琼,2025-04-07 00:00:00,白\花
蔬菜,苦瓜,2.65,斤,鲁,2025-04-07 00:00:00,
蔬菜,丝瓜,2.4,斤,豫冀鲁,2025-04-07 00:00:00,
蔬菜,西葫芦,1.1,斤,鲁,2025-04-07 00:00:00,袋\箱
蔬菜,贝贝南瓜,4.25,斤,琼,2025-04-07 00:00:00,
蔬菜,金丝南瓜,1.5,斤,琼桂,2025-04-07 00:00:00,
蔬菜,板栗南瓜,2.9,斤,桂琼,2025-04-07 00:00:00,
蔬菜,南北瓜,2.25,斤,冀琼,2025-04-07 00:00:00,
蔬菜,尖椒,2.55,斤,辽鲁冀,2025-04-07 00:00:00,袋\箱
蔬菜,红尖椒,4.0,斤,鲁,2025-04-07 00:00:00,
蔬菜,美人椒,6.05,斤,鲁云,2025-04-07 00:00:00,
蔬菜,螺丝椒,5.25,斤,鲁辽冀,2025-04-07 00:00:00,
蔬菜,柿子椒,2.8,斤,鲁冀辽,2025-04-07 00:00:00,袋\箱
蔬菜,线椒,5.25,斤,鲁粤,2025-04-07 00:00:00,绿
蔬菜,杭椒,4.25,斤,鲁粤,2025-04-07 00:00:00,
蔬菜,小米椒,15.5,斤,云,2025-04-07 00:00:00,
蔬菜,彩椒,6.25,斤,鲁,2025-04-07 00:00:00,红\黄
蔬菜,白萝卜,0.55,斤,鄂川,2025-04-07 00:00:00,
蔬菜,心里美,1.7,斤,冀,2025-04-07 00:00:00,
蔬菜,卞萝卜,0.93,斤,冀,2025-04-07 00:00:00,
蔬菜,青萝卜,1.15,斤,津豫鲁,2025-04-07 00:00:00,
蔬菜,胡萝卜,1.58,斤,鲁闽,2025-04-07 00:00:00,泥
蔬菜,胡萝卜,1.38,斤,闽,2025-04-07 00:00:00,洗
蔬菜,土豆,1.03,斤,陕蒙,2025-04-07 00:00:00,存
蔬菜,土豆,1.53,斤,桂云,2025-04-07 00:00:00,新
蔬菜,葱头,0.7,斤,甘云,2025-04-07 00:00:00,黄
蔬菜,葱头,1.03,斤,云甘,2025-04-07 00:00:00,红
蔬菜,山药,3.25,斤,豫鲁,2025-04-07 00:00:00,脆
