1,肖申克的救赎,1994,9.7分
2,霸王别姬,1993,9.6分
3,泰坦尼克号,1997,9.5分
4,阿甘正传,1994,9.5分
5,千与千寻,2001,9.4分
6,美丽人生,1997,9.5分
7,这个杀手不太冷,1994,9.4分
8,星际穿越,2014,9.4分
9,盗梦空间,2010,9.4分
10,楚门的世界,1998,9.4分
11,辛德勒的名单,1993,9.5分
12,忠犬八公的故事,2009,9.4分
13,海上钢琴师,1998,9.3分
14,三傻大闹宝莱坞,2009,9.2分
15,疯狂动物城,2016,9.2分
16,放牛班的春天,2004,9.3分
17,机器人总动员,2008,9.3分
18,无间道,2002,9.3分
19,控方证人,1957,9.6分
20,大话西游之大圣娶亲,1995,9.2分
21,熔炉,2011,9.3分
22,触不可及,2011,9.3分
23,教父,1972,9.3分
24,寻梦环游记,2017,9.1分
25,当幸福来敲门,2006,9.2分
26,末代皇帝,1987,9.3分
27,龙猫,1988,9.2分
28,哈利·波特与魔法石,2001,9.2分
29,怦然心动,2010,9.1分
30,活着,1994,9.3分
31,蝙蝠侠：黑暗骑士,2008,9.2分
32,指环王3：王者无敌,2003,9.3分
33,我不是药神,2018,9.0分
34,乱世佳人,1939,9.3分
35,飞屋环游记,2009,9.1分
36,让子弹飞,2010,9.0分
37,哈尔的移动城堡,2004,9.1分
38,素媛,2013,9.3分
39,十二怒汉,1957,9.4分
40,海蒂和爷爷,2015,9.3分
41,猫鼠游戏,2002,9.1分
42,天空之城,1986,9.2分
43,摔跤吧！爸爸,2016,9.0分
44,鬼子来了,2000,9.3分
45,少年派的奇幻漂流,2012,9.1分
46,钢琴家,2002,9.3分
47,指环王2：双塔奇兵,2002,9.2分
48,大话西游之月光宝盒,1995,9.0分
49,死亡诗社,1989,9.2分
50,何以为家,2018,9.1分
51,闻香识女人,1992,9.1分
52,绿皮书,2018,8.9分
53,大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4分
54,黑客帝国,1999,9.1分
55,罗马假日,1953,9.1分
56,指环王1：护戒使者,2001,9.1分
57,教父2,1974,9.3分
58,狮子王,1994,9.1分
59,天堂电影院,1988,9.2分
60,饮食男女,1994,9.2分
61,辩护人,2013,9.2分
62,搏击俱乐部,1999,9.0分
63,本杰明·巴顿奇事,2008,9.0分
64,美丽心灵,2001,9.1分
65,穿条纹睡衣的男孩,2008,9.2分
66,情书,1995,8.9分
67,窃听风暴,2006,9.2分
68,两杆大烟枪,1998,9.1分
69,哈利·波特与死亡圣器(下),2011,9.0分
70,音乐之声,1965,9.1分
