名称,价格,地址,评分,评论数,照片
金泰商务酒店(湖北经济学院店),164.0,江夏区杨桥湖大道13号,4.9,5806条评论,http://p0.meituan.net/tdchoteldark/21d91b57ff00359a0d68855f32151bf0956489.jpg@240w_286h_1e_1c
拉普兰德酒店(十里铺地铁站店),95.0,汉阳区琴断口街道汉阳大道与紫荆路交叉口区人民检察院南20米,4.6,1686条评论,http://p0.meituan.net/tdchoteldark/d5fcb69c77c61a7ffd9555641339851c5380045.jpg@240w_286h_1e_1c
城市便捷酒店(武汉洪山区白沙洲黄家湖大学城店),163.0,洪山区白沙洲大道2号华中江南建材物流市场28号楼1楼,4.6,1133条评论,http://p0.meituan.net/tdchoteldark/85cf44dfed3c182c41b393a114ccdda66866706.jpg@240w_286h_1e_1c
金泰酒店(武汉光谷步行街店),138.0,洪山区雄楚大道1000号（光谷步行街南800米）,4.9,1万+条评论,http://p0.meituan.net/tdchoteldark/56465bee37441618922c643c586da012642881.jpg@240w_286h_1e_1c
汉庭(武汉广埠屯地铁站店),352.0,洪山区珞瑜路190号（距地铁2号线广埠屯D出口500米）,4.9,1359条评论,http://p0.meituan.net/tdchoteldark/d09c122126ba74b1930057c522230fae711787.jpg@240w_286h_1e_1c
悦宿轻奢酒店式公寓,76.0,江夏区红花路大花岭小区西区A2栋1单元302室,5.0,1120条评论,http://p0.meituan.net/dnaimgdark/ead9fc72272f20c7a8dfc8efc2b3d8f25472859.jpg@240w_286h_1e_1c
暖途国际青年旅舍,80.0,洪山区东湖风景区街道(洪山)鲁磨路茅屋岭264号(鲁磨路东边),4.7,973条评论,http://p0.meituan.net/tdchotel/ff110cc0902af9eaf50b5994f077207d2508278.jpg@240w_286h_1e_1c
城市便捷酒店(武汉大学广埠屯地铁站店),295.0,洪山区珞喻路201号附1号（近武大口腔医院、二号线广埠屯地铁站H出口）,4.9,3575条评论,http://p0.meituan.net/tdchoteldark/7e00c779ec1805787afe2853dcc50ed0510938.jpg@240w_286h_1e_1c
浪漫主题公寓(武汉纺织大学店),188.0,"洪山区纺织路曙光星城B区11栋1单元212室（近纺织大学东门,关东派出所斜对面）",4.8,5992条评论,http://p0.meituan.net/tdchoteldark/393e633def90e7a8c93275910f2807c1323916.jpg@240w_286h_1e_1c
轻住·洛克菲商旅酒店(武昌火车站店),116.0,武昌区中山路与张之洞路交叉口西南角（武昌火车站附近）,4.7,4980条评论,http://p0.meituan.net/tdchoteldark/e488c8c3223aaf5b810a4ae227fe49d56337023.jpg@240w_286h_1e_1c
宜尚酒店(武汉江夏文化大道中百广场店),264.0,江夏区文化大道37号（近江夏中百广场、北华街地铁口C出口）,5.0,2529条评论,http://p0.meituan.net/tdchoteldark/761faa5ecbb353dc17376cd79db4a6324284056.jpg@240w_286h_1e_1c
泊岸智能影院酒店(江汉路步行街店),118.0,江岸区大智街道保成路71号附1号(距循礼门地铁1号线H出口50米)（Hello蛋糕斜对面）,4.7,1912条评论,http://p0.meituan.net/tdchoteldark/3341e8058460bc9ee172090ac8acfb9d1276651.jpg@240w_286h_1e_1c
水云间太空舱青年旅舍(中南路店),57.0,武昌区中南路中南勘察设计院宿舍小区18号9栋401（近中南路地铁F口）,5.0,1582条评论,http://p0.meituan.net/tdchoteldark/3b4d29aafbfff41ece271bcba7ed90d71104384.jpg@240w_286h_1e_1c
城市便捷酒店(武汉湖北大学地铁站店),216.0,武昌区友谊大道三角花园A1楼（湖北大学斜对面，盛秦风臻宴隔壁）,4.9,3482条评论,http://p1.meituan.net/tdchoteldark/02def14b808fd9edc545989845e2098611580131.jpg@240w_286h_1e_1c
简爱影院酒店公寓(武汉纺织大学阳光校区店),88.0,江夏区阳光大道普安新村段家湾17号（近纺织大学阳光校区）,4.8,414条评论,http://p1.meituan.net/tdchoteldark/166026aef5ac9e433cc1542bbc809f97147943.jpg@240w_286h_1e_1c
如家旗下-武汉理工大学珞狮路华驿酒店,126.0,洪山区珞狮路168号（近马房山地铁站）,4.8,815条评论,http://p0.meituan.net/tdchoteldark/fcefc775ad5bb665e4f6d7c7973bdfc04610146.jpg@240w_286h_1e_1c
春深酒店(江夏区政府谭鑫培公园地铁站店),198.0,江夏区纸坊街道古驿北路联投广场一期22栋1楼（近谭鑫培地铁站A、B出口）,4.9,859条评论,http://p0.meituan.net/tdchoteldark/33a119c0e6c556ebb639a39c2b38b82d1915718.jpg@240w_286h_1e_1c
7天酒店(武汉黄鹤楼中山路小东门地铁站店),113.0,武昌区粮道街道中山路317号（距地铁7号线小东门站C出口200米）,4.1,1874条评论,http://p1.meituan.net/tdchoteldark/093abc357fe70232104bff01698a67dd575822.jpg@240w_286h_1e_1c
如家酒店(武汉理工大学文治街地铁站店),179.0,洪山区珞狮南路292号（丽岛花园小区对面，洪山区政府旁）,5.0,2070条评论,http://p0.meituan.net/tdchoteldark/eae83c8c450ac41f8e215073df8170ba2784560.jpg@240w_286h_1e_1c
锦江之星品尚(湖北经济学院武汉传媒学院店),238.0,江夏区藏龙岛灵杰路8号（藏龙岛派出所旁）,5.0,4413条评论,http://p0.meituan.net/tdchoteldark/f89b5d3c8a7001599baa39ec2bba1a971923782.jpg@240w_286h_1e_1c
,,,,,
